Student ID,Question ID,Best Matching Score,Cosine Similarity
ST1,Q1,SCORE-3,0.815956
ST1,Q3,SCORE-3,0.8325324
ST1,Q4,SCORE-1,0.63667977
ST1,Q2,SCORE-2,0.7967467
ST2,Q1,SCORE-1,0.106550686
ST2,Q3,SCORE-3,0.8700547
ST2,Q4,SCORE-2,0.7764703
ST2,Q2,SCORE-3,0.15830208
ST3,Q1,SCORE-1,0.106550686
ST3,Q3,SCORE-3,0.81064296
ST3,Q4,SCORE-1,0.67870116
ST3,Q2,SCORE-3,0.15830208
ST4,Q1,SCORE-2,0.81331855
ST4,Q3,SCORE-1,0.85564834
ST4,Q4,SCORE-1,0.77638686
ST4,Q2,SCORE-3,0.12992921
ST5,Q1,SCORE-2,0.78608865
ST5,Q3,SCORE-2,0.2925826
ST5,Q4,SCORE-1,0.7007714
ST5,Q2,SCORE-2,0.80897236
ST6,Q1,SCORE-1,0.106550686
ST6,Q3,SCORE-2,0.13441488
ST6,Q4,SCORE-1,0.5485417
ST6,Q2,SCORE-3,0.15830208
ST7,Q1,SCORE-1,0.106550686
ST7,Q3,SCORE-3,0.67613333
ST7,Q4,SCORE-2,0.66795146
ST7,Q2,SCORE-3,0.15830208
ST8,Q1,SCORE-2,0.70419514
ST8,Q3,SCORE-2,0.77786183
ST8,Q4,SCORE-1,0.74105835
ST8,Q2,SCORE-2,0.70306593
ST9,Q1,SCORE-3,0.59117174
ST9,Q3,SCORE-2,0.13441488
ST9,Q4,SCORE-2,0.88069195
ST9,Q2,SCORE-2,0.78074825
ST10,Q1,SCORE-2,0.72488487
ST10,Q3,SCORE-3,0.8953637
ST10,Q4,SCORE-1,0.33789098
ST10,Q2,SCORE-2,0.7591007
ST11,Q1,SCORE-1,0.106550686
ST11,Q3,SCORE-1,0.6978257
ST11,Q4,SCORE-1,0.7223691
ST11,Q2,SCORE-3,0.15830208
ST12,Q1,SCORE-1,0.106550686
ST12,Q3,SCORE-3,0.7780202
ST12,Q4,SCORE-1,0.69333416
ST12,Q2,SCORE-3,0.15830208
ST13,Q1,SCORE-1,0.106550686
ST13,Q3,SCORE-3,0.9129431
ST13,Q4,SCORE-1,0.69333416
ST13,Q2,SCORE-3,0.15830208
ST14,Q1,SCORE-2,0.81155735
ST14,Q3,SCORE-1,0.7788826
ST14,Q4,SCORE-1,0.77515733
ST14,Q2,SCORE-3,0.6653422
ST15,Q1,SCORE-2,0.8279588
ST15,Q3,SCORE-3,0.7345419
ST15,Q4,SCORE-3,0.8179896
ST15,Q2,SCORE-2,0.41078228
ST16,Q1,SCORE-1,0.106550686
ST16,Q3,SCORE-2,0.2925826
ST16,Q4,SCORE-2,0.7143113
ST16,Q2,SCORE-3,0.15830208
ST17,Q1,SCORE-2,0.78654516
ST17,Q3,SCORE-3,0.90521765
ST17,Q4,SCORE-1,0.742038
ST17,Q2,SCORE-2,0.7641258
ST18,Q1,SCORE-3,0.82698154
ST18,Q3,SCORE-2,0.13441488
ST18,Q4,SCORE-1,0.6732582
ST18,Q2,SCORE-3,0.7556204
ST19,Q1,SCORE-1,0.106550686
ST19,Q3,SCORE-2,0.2925826
ST19,Q4,SCORE-3,0.8069943
ST19,Q2,SCORE-3,0.15830208
ST20,Q1,SCORE-2,0.7536284
ST20,Q3,SCORE-2,0.13441488
ST20,Q4,SCORE-1,0.6760181
ST20,Q2,SCORE-1,0.33501416
ST21,Q1,SCORE-2,0.590053
ST21,Q3,SCORE-2,0.6427202
ST21,Q4,SCORE-1,0.4586643
ST21,Q2,SCORE-3,0.5852721
ST22,Q1,SCORE-2,0.68738854
ST22,Q3,SCORE-3,0.77838516
ST22,Q4,SCORE-3,0.8635476
ST22,Q2,SCORE-2,0.71740377
ST23,Q1,SCORE-2,0.83395374
ST23,Q3,SCORE-3,0.79924405
ST23,Q4,SCORE-1,0.593553
ST23,Q2,SCORE-2,0.727502
ST24,Q1,SCORE-1,0.6782036
ST24,Q3,SCORE-2,0.13441488
ST24,Q4,SCORE-1,0.4580284
ST24,Q2,SCORE-3,0.15830208
ST25,Q1,SCORE-2,0.52530897
ST25,Q3,SCORE-1,0.81690544
ST25,Q4,SCORE-2,0.62980676
ST25,Q2,SCORE-2,0.6335951
